val	count
63.05	4
61.58	17
43.41	28
41.62	28
41.2	312
41.39	460
41.25	70
41.23	1519
41.37	43
40.97	41
40.51	590
40.58	42
41.4	8
40.25	441
40.37	111
40.31	33
40.67	87
40.85	566
41.03	41
40.96	38
40.84	53
41.02	139
41.07	377
40.95	191
39.81	9
41.0	510
41.12	38
41.06	74
41.11	32
41.47	29
40.99	328
41.5	880
41.6	240
41.76	1320
41.88	41
41.94	29
41.19	26
41.9	880
42.37	31
42.15	646
41.21	55
40.98	35
42.19	160
42.31	14
41.32	33
42.66	440
41.77	16
42.63	552
42.78	168
42.67	1200
42.13	16
41.84	7
42.55	83
42.71	186
43.16	111
42.86	230
43.31	79
43.46	563
43.52	7
43.88	128
43.78	80
43.36	1133
42.32	16
41.72	26
42.98	29
62.32	5
49.51	2
59.7	8
60.17	7
61.52	8
60.62	4
61.1	4
59.86	10
55.5	9
55.78	7
55.3	4
56.67	12
56.04	9
57.3	12
58.1	9
59.0	4
54.75	5
59.13	13
60.86	5
60.8	4
41.56	9
40.27	6
41.95	20
41.65	7
44.29	22
45.48	4
55.12	4
63.56	4
62.2	4
40.69	12
49.14	4
45.11	11
58.52	8
52.72	1
63.5	3
55.83	14
59.58	13
58.66	8
59.05	18
59.95	10
59.16	6
57.78	9
59.03	5
55.48	6
55.97	11
57.12	2
45.32	9
46.3	6
30.95	4
45.76	7
32.35	7
33.61	5
37.86	9
40.13	14
51.28	3
48.54	3
43.48	11
45.27	10
42.92	15
43.3	57
40.26	25
40.62	46
40.83	20
41.33	114
41.55	77
40.55	5
42.35	64
42.7	122
40.78	12
42.34	16
43.33	146
42.9	31
44.74	17
55.81	8
45.94	24
51.44	4
58.03	10
58.19	11
59.81	20
59.12	12
39.95	15
58.02	10
55.77	7
57.53	7
56.73	11
59.06	7
59.07	7
58.23	12
58.11	16
56.66	12
56.99	6
54.86	4
56.4	14
57.04	14
38.24	11
44.21	19
44.2	1
70.27	1
46.39	6
71.33	3
63.73	2
62.89	10
57.17	8
42.49	28
33.83	6
48.03	6
53.62	7
55.8	8
63.3	3
58.37	11
61.66	3
64.16	3
64.48	2
64.14	2
44.94	10
63.88	1
63.83	3
59.15	7
60.21	3
60.39	7
58.79	7
57.74	12
56.25	13
54.55	4
53.05	2
51.85	4
50.75	7
43.49	101
41.64	61
42.21	10
66.96	1
54.79	9
38.89	4
40.34	11
38.37	5
36.68	3
36.65	4
36.31	6
40.43	6
43.98	11
58.74	6
55.39	7
56.18	16
60.75	3
67.27	1
45.29	9
50.33	2
48.51	3
46.21	9
55.7	6
32.11	3
45.84	8
26.14	2
37.27	4
37.15	4
48.06	2
43.99	15
39.47	10
45.12	6
32.97	2
33.33	26
30.7	2
43.06	13
44.64	10
44.47	15
28.72	2
52.74	2
46.27	20
25.91	2
43.95	23
40.32	54
42.51	39
37.99	10
60.42	4
63.82	4
58.81	8
40.88	11
26.64	1
26.46	4
26.41	2
44.5	15
39.78	9
39.15	12
38.76	9
62.54	3
43.53	64
34.95	7
54.53	6
40.71	19
40.63	27
39.32	10
40.5	78
41.01	25
41.1	23
42.36	10
41.53	34
40.59	10
43.32	15
41.18	22
43.64	27
41.54	12
42.28	23
43.39	19
43.21	25
65.56	2
62.73	2
55.02	5
52.53	3
49.76	3
56.38	11
55.99	8
56.71	5
49.26	3
54.93	4
60.58	13
38.2	8
52.68	6
63.53	1
61.32	3
59.67	7
56.37	15
58.14	6
54.6	5
