fragLen	geneLen	count
203	1397	3
544	1397	16
182	1044	8
173	1044	3
301	1044	329
302	1044	498
303	1044	65
308	1044	1492
307	1044	166
310	1044	110
316	1044	598
313	1044	72
314	1044	39
323	1044	463
322	1044	165
325	1044	68
327	1044	111
328	1044	581
329	1044	57
332	1044	50
333	1044	77
334	1044	164
336	1044	383
337	1044	195
309	1044	25
339	1044	519
338	1044	52
341	1044	100
343	1044	35
340	1044	42
344	1044	339
347	1044	921
351	1044	274
352	1044	1323
335	1044	31
358	1044	887
354	1044	55
363	1044	640
330	1044	76
342	1044	36
365	1044	161
364	1044	52
368	1044	442
373	1044	551
374	1044	152
375	1044	1194
356	1044	13
320	1044	57
376	1044	85
377	1044	176
378	1044	99
381	1044	74
382	1044	531
361	1044	21
386	1044	2
417	1044	123
418	1044	81
429	1044	1084
371	1044	9
441	1044	2
847	1044	12
475	1324	1
305	3865	3
330	2662	1
354	2662	3
447	2662	1
640	2662	1
383	2662	4
416	2662	5
436	2428	2
450	2428	3
642	2428	3
600	2428	3
505	2428	5
644	2428	5
358	2428	8
439	2428	5
758	2428	1
345	2428	2
327	2428	7
324	2428	7
385	2043	2
596	2043	3
348	2043	4
557	2043	7
657	2043	1
354	2043	4
537	2043	3
590	2043	4
373	3462	2
231	507	1
700	12831	1
532	12831	2
364	922	4
679	922	1
400	1651	9
206	1651	1
433	1651	6
329	1651	7
442	1651	9
387	1651	4
644	1651	3
836	1651	1
310	1651	6
301	1651	3
427	1651	7
653	1651	3
470	9068	3
514	9068	2
391	1541	1
907	1541	1
541	2449	2
717	2449	1
618	2449	1
304	2449	1
392	2648	3
103	1044	2
161	1044	4
201	1044	1
240	1044	13
261	1044	48
305	1044	33
346	1044	159
349	1044	101
366	1044	64
370	1044	108
380	1044	112
427	1044	142
317	3865	2
370	3865	6
666	3865	2
258	447	1
394	2180	22
243	2180	1
305	2662	4
311	2662	3
751	2662	1
408	1110	3
448	1110	1
567	2428	6
615	2428	5
365	2428	4
379	2428	6
469	2428	9
562	2428	7
398	2428	4
541	2428	12
604	2428	5
503	2428	3
672	2428	3
782	2428	1
646	2428	1
500	2428	2
582	2428	4
306	2043	3
328	2043	6
586	2043	5
370	2043	4
595	681	1
293	3462	1
558	3462	1
466	3462	1
733	3462	1
474	3462	2
273	611	2
402	2083	2
304	1546	6
373	1546	7
552	1546	7
327	1546	4
735	1546	1
592	1546	1
438	1546	1
487	1546	2
449	1546	7
603	922	1
407	1651	3
481	1651	5
492	1651	5
568	1651	3
563	1651	5
840	1651	2
384	1651	7
319	4878	1
394	4077	1
596	4077	1
532	4077	1
338	9068	2
329	9068	1
308	9068	1
224	6232	1
449	6232	3
612	6232	2
295	6232	1
430	6232	3
668	6232	2
543	6232	1
369	6232	2
470	6232	2
457	6232	3
349	1541	2
529	1541	1
445	1541	1
321	1541	1
666	2509	1
2371	2648	1
