val	count
203	7
544	37
182	8
173	4
301	365
302	531
303	100
308	1541
307	221
310	168
316	667
313	125
314	88
323	533
322	241
325	125
327	174
328	639
329	119
332	104
333	131
334	215
336	451
337	261
309	81
339	584
338	119
341	163
343	100
340	109
344	406
347	973
351	332
352	1378
335	123
358	950
354	112
363	702
330	133
342	93
365	212
364	115
368	508
373	620
374	208
375	1262
356	59
320	121
376	142
377	249
378	154
381	125
382	592
361	80
386	54
417	183
418	134
429	1156
371	46
441	51
847	17
475	41
305	73
447	50
640	16
383	71
416	51
436	45
450	49
642	23
600	23
505	34
644	25
439	53
758	7
345	92
324	93
385	61
596	28
348	76
557	35
657	10
537	38
590	24
231	23
700	10
532	37
679	12
400	61
206	5
433	68
442	72
387	54
836	9
427	187
653	19
470	40
514	39
391	52
907	3
541	42
717	11
618	27
304	62
392	85
103	6
161	4
201	2
240	18
261	65
346	217
349	160
366	126
370	185
380	163
317	108
666	20
258	7
394	76
243	12
311	87
751	10
408	79
448	36
567	28
615	24
379	79
469	51
562	36
398	46
604	27
503	27
672	20
782	4
646	19
500	26
582	32
306	63
586	27
595	27
293	26
558	18
466	41
733	7
474	35
273	14
402	66
552	47
735	12
592	23
438	49
487	47
449	66
603	22
407	50
481	62
492	43
568	31
563	30
840	6
384	71
319	69
224	4
612	17
295	40
430	135
668	15
543	36
369	127
457	47
529	29
445	40
321	148
2371	1
488	37
606	18
277	21
456	55
565	37
570	23
491	55
641	19
605	19
367	133
281	9
699	10
296	34
493	34
389	67
413	57
223	22
315	150
228	9
959	2
473	44
756	10
734	14
705	20
645	24
291	25
464	43
535	50
530	48
166	2
140	3
238	41
213	16
266	53
312	99
326	131
431	61
331	133
660	24
498	32
465	40
422	66
509	38
432	56
542	28
517	38
555	24
510	47
579	46
174	5
495	23
482	34
390	56
738	16
458	43
693	16
825	7
421	46
881	2
496	37
1019	1
181	6
685	21
403	75
560	27
102	5
435	48
501	35
490	56
575	28
396	67
722	10
837	6
661	20
410	71
828	4
455	49
478	34
446	57
405	53
531	43
598	15
353	138
785	10
200	8
357	185
279	20
425	85
133	2
843	5
350	82
372	60
523	28
611	25
246	10
1313	1
420	71
232	5
276	13
698	15
477	65
274	9
664	12
468	32
393	55
670	14
551	29
401	51
423	93
548	29
513	35
629	17
536	32
639	12
636	17
712	13
506	30
702	12
678	18
655	19
729	10
460	53
497	46
676	15
709	9
588	34
299	55
264	11
288	16
522	37
255	24
507	47
268	6
583	22
388	67
453	40
415	43
870	1
406	56
648	22
599	16
165	2
580	26
412	67
518	35
409	62
737	13
250	10
511	48
459	47
485	40
695	10
362	98
300	45
397	49
298	46
483	37
545	38
318	98
479	42
571	34
622	25
694	18
801	9
158	7
759	6
486	31
625	29
602	19
856	6
830	3
462	45
764	9
728	16
549	25
270	15
434	89
748	9
499	29
267	8
256	10
247	13
262	15
248	8
569	31
816	8
528	36
770	5
627	25
550	27
289	29
587	48
747	17
271	10
650	19
697	29
525	32
359	106
426	53
437	44
183	2
419	73
275	11
283	16
743	10
540	41
189	3
831	5
577	47
554	32
572	38
172	2
643	26
480	54
454	64
597	25
581	33
297	40
608	17
440	52
634	22
512	41
609	18
521	34
504	48
662	21
638	14
813	4
687	12
880	2
284	18
260	6
136	1
443	56
219	2
285	13
757	6
494	44
589	18
202	19
533	30
411	47
781	6
630	16
818	5
526	34
723	14
404	50
690	18
467	44
995	1
566	17
852	3
692	22
515	48
137	4
874	5
1570	3
736	12
399	48
252	7
893	3
502	30
620	16
669	24
444	38
585	16
593	28
798	4
253	9
564	46
395	51
163	9
4455	1
556	42
360	52
658	17
792	2
184	2
688	5
559	38
484	51
553	23
144	4
355	70
508	43
244	8
547	26
923	4
614	15
681	14
527	26
471	48
534	23
701	11
714	7
675	18
520	39
489	34
519	39
812	3
414	48
637	21
574	14
205	7
721	5
741	13
849	21
147	10
654	23
1082	1
1104	1
787	5
451	26
656	17
904	2
613	21
472	36
762	11
659	20
428	74
561	30
217	15
771	15
1671	1
911	2
463	42
461	28
966	1
106	3
610	18
663	18
898	3
424	57
607	29
806	6
633	13
107	9
718	12
861	5
790	9
651	12
452	46
817	2
706	14
631	15
988	1
272	12
265	17
286	16
740	13
208	17
673	12
263	10
278	11
686	10
282	17
73	1
119	5
1468	1
2826	1
628	17
865	3
802	10
191	6
835	9
1617	2
591	26
867	5
811	4
647	17
110	9
616	20
671	18
684	14
674	18
97	7
624	21
626	20
909	3
665	10
290	27
683	18
815	5
766	10
198	8
176	7
112	3
131	6
207	18
122	4
233	11
882	4
708	14
241	3
573	38
121	8
682	13
763	9
621	13
730	10
108	4
169	6
476	53
885	6
294	27
623	14
594	18
853	3
292	42
210	3
197	4
225	15
649	16
257	7
126	2
832	10
821	4
524	32
249	7
516	34
619	18
752	6
939	1
546	26
841	7
775	2
838	3
804	8
680	17
755	8
769	8
820	5
74	2
127	3
810	7
862	9
235	4
863	2
946	2
716	10
214	6
254	10
105	4
216	4
584	25
855	3
713	11
805	5
724	6
242	6
259	12
823	7
786	6
964	1
652	12
129	3
218	13
772	8
689	15
727	7
635	18
941	5
193	2
209	2
965	2
617	20
118	9
134	3
135	6
725	17
742	6
760	7
151	4
696	10
157	4
538	25
89	2
744	6
236	10
711	10
707	17
768	3
251	5
185	10
774	3
48	1
160	7
800	8
227	10
753	10
912	4
226	8
287	26
715	10
539	18
1046	2
1504	1
807	8
822	6
124	2
842	9
876	4
187	6
177	1
927	2
1001	4
632	13
745	9
873	4
180	9
153	5
794	8
63	2
601	15
130	3
799	7
972	1
27	2
128	7
731	8
1204	1
1205	1
826	7
860	5
943	1
942	3
677	7
761	6
894	2
994	3
950	1
152	2
767	6
795	6
749	6
188	2
234	3
196	5
1727	1
779	7
797	5
1486	1
1625	1
1758	1
754	3
667	7
710	10
82	1
578	28
703	11
1315	1
834	6
1057	2
858	2
1996	1
1946	1
178	2
932	1
117	1
891	2
803	5
829	5
222	8
793	4
104	3
846	2
780	2
999	1
269	9
906	1
784	4
125	1
220	8
199	6
868	3
956	1
719	9
890	1
64	3
924	1
987	1
859	7
739	9
732	4
2233	2
2412	1
691	12
896	1
796	5
211	6
113	3
230	5
915	1
162	3
1797	2
1970	1
2170	1
746	9
750	10
897	2
844	5
704	3
827	6
788	5
778	5
237	8
824	4
141	3
204	2
576	20
908	2
212	1
1683	1
1056	6
168	2
783	8
280	11
239	3
814	2
215	10
776	6
864	3
845	4
905	2
955	1
900	4
167	5
1016	1
170	4
848	5
179	2
1009	1
789	4
2182	2
8984	3
777	4
981	2
992	1
109	5
3271	1
3113	1
100	1
726	7
791	2
773	6
1807	2
1769	2
869	2
120	2
839	4
931	2
1297	2
887	2
146	4
1385	1
1034	1
1743	2
61	1
194	3
720	6
2619	1
892	3
148	2
68	1
916	3
101	3
1817	1
948	1
872	2
947	1
930	3
159	1
175	3
819	3
922	2
84	4
1005	1
1053	1
871	2
2597	1
967	1
919	2
879	1
934	1
115	1
1574	1
1440	1
1596	2
1350	1
1220	1
245	5
854	2
116	1
877	1
139	2
944	2
2028	1
2254	1
884	2
149	4
96	3
1555	1
866	2
1453	1
899	2
1201	1
93	1
2468	1
123	1
190	4
142	2
940	2
936	2
1164	2
221	3
229	6
25	1
850	1
1061	2
960	1
925	1
186	4
111	1
24	2
99	2
833	4
1584	1
1367	1
937	2
94	1
928	1
985	1
809	1
195	1
143	4
878	1
1074	1
974	1
901	1
155	3
910	2
1348	1
954	1
1011	1
1393	1
949	2
973	1
1381	1
1414	1
145	2
951	1
2481	2
3513	2
1514	1
1469	1
3804	1
1043	1
918	1
2603	1
2609	1
1628	1
2201	1
3209	1
2998	1
46	1
138	1
961	1
1365	1
1125	1
851	1
1069	2
114	1
1103	1
975	1
926	1
765	1
889	1
917	1
958	1
