val	count
182	5
173	3
302	131
303	64
308	436
316	215
314	67
323	212
336	154
337	111
309	66
341	81
343	61
340	97
347	135
352	411
358	233
363	203
330	91
342	75
334	93
368	110
328	203
373	195
375	357
356	50
320	91
378	74
382	114
386	40
429	238
371	39
441	44
847	12
447	41
640	14
383	62
416	39
436	37
450	42
642	21
600	22
505	27
439	34
758	6
345	66
385	41
596	20
348	59
557	28
657	8
354	78
537	36
700	9
532	26
206	3
433	46
329	91
442	54
387	45
644	19
836	7
310	119
427	73
653	18
470	31
514	34
391	43
541	31
717	7
618	23
304	43
392	62
201	2
301	100
346	103
351	119
333	79
317	80
370	96
666	20
258	5
311	74
751	9
615	20
365	73
379	62
469	38
562	34
398	34
604	24
503	21
672	16
782	4
582	26
306	47
586	26
595	23
558	18
466	34
733	5
474	28
402	48
735	11
592	21
603	19
492	38
568	21
563	26
840	6
384	51
319	53
394	42
338	75
612	16
430	55
668	14
543	27
369	118
457	34
2371	1
488	32
606	16
456	50
327	96
570	21
381	45
335	102
491	46
641	16
605	17
699	8
413	42
313	89
959	2
473	35
756	10
734	14
705	19
645	21
291	13
464	33
535	36
544	23
166	2
140	3
238	11
213	5
312	87
339	182
344	148
367	82
325	92
567	21
498	28
377	103
465	35
432	41
542	26
517	32
448	31
349	90
174	2
495	20
482	28
390	48
738	14
458	35
693	11
825	3
421	37
552	42
881	2
496	33
181	3
560	23
435	39
490	42
475	35
332	85
396	50
722	10
837	6
501	29
361	53
661	19
410	58
828	4
455	45
478	28
446	49
405	43
531	37
598	14
353	69
200	8
321	84
305	44
374	90
133	2
579	38
843	4
350	59
372	40
523	25
611	21
246	7
232	5
276	9
425	47
698	13
477	61
274	6
664	11
468	23
393	43
431	37
670	13
357	102
401	43
423	76
513	28
629	17
639	11
636	15
712	13
506	25
702	10
420	47
678	14
655	17
729	10
460	37
497	42
676	15
709	9
389	45
588	29
487	31
299	30
324	75
288	7
322	149
507	39
583	19
295	22
388	48
453	36
590	21
415	37
870	1
648	20
599	15
165	2
530	38
580	24
412	55
326	97
518	28
409	45
737	12
293	11
250	6
511	44
417	69
459	29
485	37
536	29
551	25
695	9
300	29
483	33
545	33
318	68
479	34
571	30
622	19
481	49
694	16
801	7
158	5
759	6
486	21
625	25
602	18
856	6
830	3
462	38
764	9
728	16
549	23
270	7
434	39
748	9
256	7
247	4
248	6
816	8
770	5
500	19
650	18
697	28
525	26
359	75
426	39
437	32
271	7
419	55
289	12
540	37
240	9
261	19
298	29
331	105
831	5
577	44
660	22
572	31
172	1
366	52
480	47
454	56
597	16
581	32
550	21
522	28
608	16
440	41
512	37
609	18
449	56
521	30
504	42
403	63
662	19
638	13
422	44
813	4
687	12
880	2
284	9
260	4
136	1
443	42
219	2
285	8
362	61
757	6
494	39
589	15
202	14
533	23
528	32
408	66
781	6
630	14
818	5
526	30
723	13
467	35
995	1
679	11
566	17
852	3
397	38
692	18
515	39
137	2
874	5
1570	3
736	11
376	77
627	21
620	14
364	89
669	23
502	24
438	37
4455	1
556	39
360	41
658	14
792	2
184	2
688	4
553	16
569	25
244	8
297	27
499	22
547	21
923	4
554	27
614	14
681	10
527	21
471	40
534	19
564	35
714	6
675	17
520	32
489	28
812	3
575	27
414	32
637	20
205	2
224	3
307	96
721	5
741	13
147	7
380	57
1082	1
400	46
407	33
1104	1
399	35
451	17
231	7
656	17
904	2
613	17
643	24
472	29
762	11
654	20
659	17
428	46
561	26
445	31
217	11
228	7
771	15
406	46
911	2
519	30
463	34
461	19
966	1
106	1
509	34
610	16
849	17
315	99
663	17
898	3
424	47
607	25
806	6
633	13
107	8
718	11
861	5
790	9
651	11
452	35
817	2
706	13
631	15
988	1
740	13
208	4
255	11
265	8
263	8
418	67
686	9
282	9
73	1
119	5
484	44
865	3
802	10
835	8
1617	2
591	23
867	5
811	4
647	15
110	4
646	16
559	30
616	20
279	11
684	13
674	16
690	17
273	7
628	15
624	19
508	38
626	18
909	3
665	8
671	14
290	16
683	18
907	2
815	4
766	10
198	7
176	6
131	6
122	4
882	3
708	14
241	3
573	32
121	8
682	13
555	14
763	9
701	10
730	8
108	4
169	3
476	42
885	6
594	15
197	2
225	9
266	16
649	15
257	6
585	14
126	2
832	6
821	4
524	27
249	3
516	31
565	31
619	17
621	11
752	6
939	1
546	21
841	7
775	2
355	56
278	4
102	3
296	17
838	2
163	7
804	8
680	17
161	1
769	8
820	5
103	3
127	3
395	36
810	7
862	9
510	36
235	4
863	2
946	1
444	27
716	9
214	6
254	6
411	39
105	3
785	9
587	35
216	4
584	24
673	11
855	3
713	9
493	23
805	4
724	5
259	9
286	11
823	7
786	6
964	1
272	7
743	8
652	12
129	2
689	13
727	7
787	4
635	16
941	5
193	1
209	2
593	25
965	2
617	19
118	7
252	3
294	13
134	3
685	19
725	17
548	22
742	6
760	7
529	21
151	4
696	9
157	3
538	24
89	1
744	6
236	5
711	9
755	7
404	34
707	17
768	3
634	20
251	2
774	3
160	6
242	2
800	8
227	9
267	5
753	10
912	4
226	8
747	12
715	9
185	6
539	12
1046	1
277	12
807	6
822	3
283	7
842	8
876	4
253	7
177	1
927	2
1001	4
745	8
873	4
180	3
153	5
144	3
794	8
130	2
799	6
972	1
128	7
731	8
574	9
1204	1
1205	1
218	5
826	7
860	5
943	1
942	3
677	6
191	4
761	6
894	2
950	1
767	5
795	6
188	2
234	2
196	4
187	3
207	6
287	10
779	7
797	5
1486	1
1625	1
1758	1
754	2
292	20
667	7
710	10
82	1
578	25
703	9
772	7
1315	1
834	6
1057	2
858	2
1996	1
1946	1
178	2
932	1
803	5
829	5
222	5
793	4
846	2
780	2
999	1
269	6
906	1
784	3
104	2
220	6
199	4
868	3
956	1
719	8
890	1
233	4
601	12
64	2
623	11
924	1
987	1
859	6
739	7
732	4
853	1
2233	2
2412	1
691	12
896	1
796	4
211	3
113	1
749	5
230	5
915	1
162	3
1797	2
1970	1
2170	1
746	8
750	10
897	2
844	4
704	3
827	3
788	5
778	5
112	1
824	4
141	2
264	8
74	1
204	2
576	17
908	2
632	12
212	1
1056	6
168	2
783	8
280	7
239	2
814	2
215	5
776	6
864	3
798	3
845	4
905	2
955	1
900	4
167	5
1016	1
848	5
179	2
1009	1
789	4
8984	3
777	4
981	2
992	1
3271	1
223	6
100	1
281	3
726	7
791	2
773	6
1807	2
1769	2
237	3
120	2
839	3
931	2
1297	2
887	2
146	3
1385	1
183	1
1034	1
1743	2
61	1
720	6
2619	1
892	3
124	1
148	2
68	1
916	3
101	3
203	3
