pos	qual	count
0	E	16196
0	A	55389
0	/	1455
0	6	1024
0	<	48
0	#	14
1	E	16098
1	A	55584
1	/	1849
1	6	570
1	<	25
2	E	16156
2	A	55606
2	/	1545
2	6	792
2	<	27
3	E	16046
3	A	56223
3	/	956
3	6	887
3	<	14
4	E	15140
4	A	56080
4	6	1402
4	/	1485
4	<	19
5	E	69059
5	/	1164
5	A	2951
5	6	929
5	<	22
5	#	1
6	E	68258
6	A	3544
6	/	1284
6	6	997
6	<	43
7	E	67304
7	/	1739
7	6	806
7	A	4178
7	<	99
8	E	68301
8	A	3660
8	/	1239
8	<	84
8	6	842
9	E	67859
9	A	3988
9	/	1246
9	6	962
9	<	68
9	#	3
10	E	69411
10	/	1050
10	A	3026
10	6	588
10	<	50
10	#	1
11	E	67899
11	/	1432
11	A	3817
11	6	948
11	<	29
11	#	1
12	E	68194
12	A	3730
12	/	1307
12	6	867
12	<	23
12	#	5
13	A	3722
13	E	68326
13	/	1226
13	6	789
13	<	61
13	#	2
14	E	67606
14	/	1548
14	A	3989
14	<	88
14	6	888
14	#	7
15	E	66202
15	A	4759
15	/	1995
15	6	926
15	<	237
15	#	7
16	E	62729
16	A	5672
16	/	4390
16	6	1237
16	<	93
16	#	5
17	E	59316
17	A	5601
17	/	6858
17	6	2267
17	<	75
17	#	9
18	E	66886
18	A	3961
18	6	1223
18	/	1949
18	<	102
18	#	5
19	E	68382
19	/	1393
19	A	3371
19	<	150
19	6	826
19	#	4
20	E	67850
20	/	1490
20	A	3795
20	6	783
20	<	203
20	#	5
21	E	67673
21	A	3782
21	/	1705
21	6	838
21	<	123
21	#	5
22	E	66094
22	A	4483
22	6	1043
22	/	2332
22	<	173
22	#	1
23	E	67451
23	A	3948
23	6	838
23	/	1711
23	<	178
24	E	65683
24	A	4590
24	/	2503
24	6	1198
24	<	144
24	#	8
25	E	66628
25	A	4264
25	/	2133
25	6	895
25	<	196
25	#	10
26	E	66298
26	A	4435
26	/	2238
26	<	335
26	6	816
26	#	4
27	E	66165
27	A	4460
27	/	2353
27	<	335
27	6	810
27	#	3
28	E	65931
28	/	2531
28	A	4345
28	<	215
28	6	1099
28	#	5
29	E	65860
29	A	4449
29	/	2562
29	6	906
29	<	344
29	#	5
30	E	65921
30	/	2664
30	A	4382
30	<	373
30	6	781
30	#	5
31	A	5072
31	E	64704
31	<	508
31	/	2864
31	6	977
31	#	1
32	E	65087
32	/	2971
32	A	4749
32	<	572
32	6	743
32	#	4
33	E	64064
33	A	5132
33	/	3523
33	6	1071
33	<	335
33	#	1
34	E	65771
34	<	548
34	/	2634
34	A	4406
34	6	763
34	#	4
35	E	62084
35	/	3998
35	A	5772
35	6	1082
35	<	1185
35	#	5
36	E	62642
36	/	4394
36	A	5701
36	6	886
36	<	499
36	#	4
37	E	64633
37	/	3285
37	A	4799
37	<	688
37	6	718
37	#	3
38	E	63065
38	A	5549
38	<	970
38	/	3553
38	6	987
38	#	2
39	E	63836
39	A	4946
39	/	3592
39	6	877
39	<	872
39	#	3
40	E	64883
40	/	2948
40	A	4816
40	<	670
40	6	806
40	#	3
41	E	64632
41	A	4984
41	/	2962
41	<	703
41	6	844
41	#	1
42	E	63140
42	/	3886
42	6	794
42	A	5568
42	<	737
42	#	1
43	E	62307
43	A	5897
43	<	1247
43	/	3683
43	6	988
43	#	4
44	E	62790
44	<	773
44	/	4053
44	A	5798
44	6	708
44	#	4
45	<	701
45	E	64507
45	/	3348
45	A	4967
45	6	599
45	#	4
46	E	64679
46	/	3284
46	A	4856
46	6	674
46	<	627
46	#	6
47	A	4773
47	E	64518
47	6	727
47	/	3368
47	<	737
47	#	3
48	<	633
48	E	58159
48	/	7952
48	A	5736
48	6	1636
48	#	10
49	E	63868
49	/	3714
49	A	4913
49	<	800
49	6	824
49	#	7
50	E	59873
50	/	6053
50	A	6028
50	<	725
50	6	1440
50	#	7
51	E	63608
51	6	853
51	A	5271
51	/	3495
51	<	894
51	#	5
52	E	61039
52	/	4699
52	A	6070
52	<	1449
52	6	867
52	#	2
53	E	62590
53	A	5986
53	<	1252
53	/	3374
53	6	916
53	#	8
54	E	61988
54	A	6127
54	6	704
54	/	4147
54	<	1153
54	#	7
55	E	61499
55	A	6095
55	/	4082
55	<	1494
55	6	952
55	#	4
56	E	58608
56	A	7571
56	/	4307
56	<	2162
56	6	1471
56	#	7
57	A	6974
57	E	60790
57	<	1570
57	/	3997
57	6	787
57	#	8
58	E	60396
58	/	3551
58	A	7426
58	<	1759
58	6	985
58	#	9
59	E	58345
59	/	5390
59	<	1599
59	A	8041
59	6	743
59	#	8
60	E	58906
60	A	7392
60	/	5715
60	<	1348
60	6	756
60	#	9
61	E	61561
61	/	3518
61	A	6689
61	6	899
61	<	1450
61	#	9
62	E	59472
62	A	7461
62	<	1464
62	/	4861
62	6	862
62	#	6
63	E	62214
63	A	6284
63	<	1452
63	/	3376
63	6	794
63	#	6
64	E	59122
64	<	1995
64	/	4592
64	A	7435
64	6	974
64	#	8
65	E	61128
65	A	6754
65	/	4039
65	<	1511
65	6	687
65	#	7
66	E	60395
66	A	7196
66	/	4440
66	<	1336
66	6	755
66	#	4
67	E	59055
67	<	1533
67	/	4912
67	A	7775
67	6	845
67	#	6
68	E	59595
68	6	924
68	A	7455
68	/	4239
68	<	1907
68	#	6
69	E	57850
69	<	2391
69	A	7786
69	/	5160
69	6	932
69	#	7
70	E	58035
70	A	8172
70	/	4373
70	<	2440
70	6	1099
70	#	7
71	A	7776
71	E	59079
71	<	2115
71	/	4432
71	6	719
71	#	5
72	E	58408
72	/	4441
72	A	8128
72	<	2297
72	6	845
72	#	7
73	A	8800
73	E	55182
73	/	7329
73	6	862
73	<	1944
73	#	9
74	E	59033
74	/	4502
74	A	7732
74	<	2100
74	6	750
74	#	9
75	E	55515
75	A	8654
75	/	6204
75	<	2884
75	6	862
75	#	7
76	E	57752
76	A	8356
76	/	4869
76	<	2402
76	6	743
76	#	4
77	E	57920
77	A	8505
77	/	4797
77	<	2122
77	6	774
77	#	8
78	/	5491
78	E	56792
78	A	8355
78	<	2793
78	6	691
78	#	4
79	E	58496
79	A	7905
79	<	2458
79	/	4511
79	6	751
79	#	5
80	A	7974
80	E	58764
80	<	2461
80	6	860
80	/	4065
80	#	2
81	E	58335
81	/	4064
81	A	8510
81	<	2407
81	6	809
81	#	1
82	E	57826
82	<	2541
82	A	8891
82	/	4157
82	6	705
82	#	6
83	E	57601
83	6	747
83	A	9054
83	<	2588
83	/	4128
83	#	8
84	E	56391
84	/	5151
84	A	9173
84	<	2683
84	6	720
84	#	8
85	E	50758
85	/	7189
85	<	4450
85	A	10411
85	6	1315
85	#	3
86	E	50461
86	/	7121
86	6	2481
86	A	9717
86	<	4342
86	#	4
87	E	54050
87	A	9809
87	/	5482
87	<	3360
87	6	1423
87	#	2
88	E	55070
88	A	9498
88	<	3328
88	6	754
88	/	5474
88	#	2
89	E	57485
89	A	8623
89	/	4874
89	<	2487
89	6	657
90	E	56840
90	A	8996
90	<	2741
90	/	4950
90	6	598
90	#	1
91	E	57000
91	/	5000
91	A	8520
91	<	2954
91	6	650
91	#	2
92	E	56752
92	A	8758
92	/	5346
92	<	2618
92	6	650
92	#	2
93	E	56142
93	A	9217
93	<	2892
93	/	5151
93	6	724
94	E	56425
94	/	4989
94	<	2946
94	A	9076
94	6	684
94	#	6
95	E	55193
95	/	5254
95	<	3443
95	A	9407
95	6	828
95	#	1
96	E	53831
96	A	10152
96	<	3695
96	/	5619
96	6	828
96	#	1
97	E	53824
97	/	5968
97	A	9579
97	<	3898
97	6	854
97	#	3
98	E	54964
98	/	4947
98	A	9905
98	<	3587
98	6	721
98	#	2
99	E	55664
99	<	3200
99	A	9469
99	/	5054
99	6	734
